Name,Notes,Address Short,City State Zip,Address Consolidated,Latitude,Longitude
LA Valley College,Wednesday 11am-1pm,5800 Fulton Ave,"Valley Glem, CA 91401, United States","5800 Fulton Ave Valley Glem, CA 91401, United States",34.1752206,-118.4151579
La Voz Sylmar SDA Church,Thursday 4:30 pm - 5:30 pm,13550 Herron St,"Sylmar, CA 91342, United States","13550 Herron St Sylmar, CA 91342, United States",34.3135517,-118.4278215
Lady Bug Ministry,Last Tuesday 9am - 10am,1016 E Rosecrans Ave,"Compton, CA 90043, United States","1016 E Rosecrans Ave Compton, CA 90043, United States",33.9022549,-118.2571439
Lady Bug Ministry,1st Wednesday 9am-10am,6111 Gramercy Place,"Los Angeles, CA 90047, United States","6111 Gramercy Place Los Angeles, CA 90047, United States",33.984096,-118.3139205
Lakeview Terrace American Baptist Church,2nd Saturday 10am - 1130,11901 Foothill Blvd,"Sylmar, CA 91342, United States","11901 Foothill Blvd Sylmar, CA 91342, United States",34.275728,-118.3958612
Lancaster Municipal Stadium,11/22/2025 | 9am - 12pm,45116 Vly Central Way,"Lancaster, CA 93536, United States","45116 Vly Central Way Lancaster, CA 93536, United States",34.7028501,-118.1729732
Lawrence Ministries,3rd Saturdays 10 am - 2 pm,12441 E. Farlow Street,"Hawaiian Gardens, CA 90716, United States","12441 E. Farlow Street Hawaiian Gardens, CA 90716, United States",33.8328834,-118.0662692
LBCC @Veterans Memorial Stadium,11/21/2025 | 9am -12pm,5000 E. Lew Davis Street LOT M,"Long Beach, CA 90808, United States","5000 E. Lew Davis Street LOT M Long Beach, CA 90808, United States",33.8276307,-118.1361964
LCS Maywood,4th Tuesday 9am-12pm,4735 Slauson Ave,"Maywood, CA 90270, United States","4735 Slauson Ave Maywood, CA 90270, United States",33.9868861,-118.1799236
LCS Mission Hills,2nd Tuesday  9am-12pm,14800 Devonshire St,"Mission Hills, CA 91345, United States","14800 Devonshire St Mission Hills, CA 91345, United States",34.2569199,-118.4547255
Lennox Middle School,11/22/2025 | 9am - 12pm,11033 Buford Avenue,"Lennox, CA 90304, United States","11033 Buford Avenue Lennox, CA 90304, United States",33.9346693,-118.3644569
Light and Life Free Methodist Church,Wedensday 10am-12pm & 2nd Saturday 10am - 12pm,5951 Downey Ave,"Long Beach, CA 90805, United States","5951 Downey Ave Long Beach, CA 90805, United States",33.8636561,-118.1520395
Lighthouse Community Outreach Inc,Thursdays 11 am - 3 pm,1976 E. 103rd St,"Los Angeles, CA 90002, United States","1976 E. 103rd St Los Angeles, CA 90002, United States",33.9428449,-118.2370796
Lighthouse of San Fernando,Friday 3pm - 4pm,622 N. Maclay Ave,"San Fernando, CA 91340, United States","622 N. Maclay Ave San Fernando, CA 91340, United States",34.2891819,-118.4328024
Lincoln Avenue Baptist Church,Wednesday 10am - 12pm,1180 N. Lincoln Avenue,"Pasadena, CA 91103, United States","1180 N. Lincoln Avenue Pasadena, CA 91103, United States",34.1816336,-118.1596911
Living Hope SDA Church,3rd & 4th Sunday 1pm-3pm,650 W. 21st St,"Los Angeles, CA 90007, United States","650 W. 21st St Los Angeles, CA 90007, United States",34.0326766,-118.2751824
Living Springs Foursquare Church,2nd & 4th Wednesday 8am - 10am,17315 Coolwater Ave,"Palmdale, CA 93591, United States","17315 Coolwater Ave Palmdale, CA 93591, United States",34.6158829,-117.8202224
